"title","object","action","movie","allplay"
"whale","book of jokes","offend","Pulp Fiction","entertain"
"Jesus","boom box","melt","The Godfather","bracelet"
"Statue of Liberty","toe ring","trap","2001: A Space Odyssey","Apocalypse Now"
"alligator","umbrella","comb","The Good, the Bad and the Ugly","box of crayons"
"Mao","few batteries","wrestle","Taxi Driver","stir"
"Eiffel Tower","ocarina","sneeze","The Godfather: Part II","Kronborg Castle"
"cat","flyswatter","nod","A Clockwork Orange","camera"
"Albert Enstein","empty bottle","thank","12 Angry Men","pump"
"Big Ben","mop","bang","Stalker","Muhammad Ali"
"gila","box of Q-tips","curve","One Flew Over the Cuckoos Nest","porpoise"
"Cleopatra","pencil","fill","The Shining","I Am Cuba"
"Leaning Tower of Pisa","necktie","live","Spirited Away","Sansho the Bailiff"
"monster","spool of thread","hammer","Persona","wolverine"
"Michael Jackson","speakers","boast","Dr. Strangelove Or: How I Learned to Stop Worrying and Love the Bomb","The Passenger"
"Colosseum","ladle","rot","Mulholland Drive","David Livingstone"
"weasel","monitor","tip","Satantango","lip gloss"
"Charlie Chaplin","jar of pickles","close","Come and See","Nelson Mandela"
"Empire State Building","chicken","shock","Woman in the Dunes","bookmark"
"bull","candle","coach","Citizen Kane","shawl"
"Julius Ceasar","ring","drag","Alien","A Brighter Summer Day"
"Hollywood Sign","tomato","rush","Sunset Boulevard","sheet of paper"
"lion","pair of scissors","deceive","Andrei Rublev","last"
"Joan of Arc","plush unicorn","decide","Blade Runner","Ace in the Hole"
"Golden Gate Bridge","vase","analyse","Vertigo","hair brush"
"wombat","tea pot","decorate","The Empire Strikes Back","ski"
"John Lennon","towel","cross","Rear Window","Robert De Niro"
"Tokyo Tower","bandana","hook","The Passion of Joan of Arc","jar of jam"
"seal","pair of binoculars","bore","No Country for Old Men","bottle of syrup"
"Mother Theresa","rubber band","kneel","Fanny &amp;amp; Alexander","Disneyland Paris"
"St. Peters Basilica","spoon","spark","M","Rowan Atkinson"
"badger","sofa","hop","Fargo","carrot"
"Gandhi","sailboat","ask","Once Upon a Time in America","pig"
"Sagrada Familia","plush frog","moan","Modern Times","guarantee"
"dromedary","soccer ball","paint","8 1/2","twister"
"Princess Diana","street lights","train","City Lights","Windsor Castle"
"Little Mermaid","spool of string","terrify","Reservoir Dogs","offer"
"jackal","hair clip","sigh","Wild Strawberries","overflow"
"Leonardo Da Vinci","coffee pot","embarrass","Annie Hall","Psycho"
"Great Wall of China","candy wrapper","breathe","Aguirre: The Wrath of God","Abraham Lincoln"
"shrew","socks","bow","Ikiru","empty tin can"
"Christopher Columbus","can of peas","suffer","Ran","Marketa Lazarova"
"Sydney Opera House","football","injure","The Human Condition III: A Soldiers Prayer","money"
"rabbit","pair of handcuffs","mark","Monty Python and the Holy Grail","Taylor Swift"
"Queen Victoria","seat belt","return","Tokyo Story","marmoset"
"St. Basils Cathedral","game cartridge","report","Twin Peaks","goat"
"parrot","hair tie","frame","City of God","concern"
"Pablo Picasso","leg warmers","smoke","Solaris","baseball bat"
"Arc de Triomphe","stick","learn","Stop Making Sense","extend"
"tapir","harmonica","harass","Eternal Sunshine of the Spotless Mind","pop can"
"Socrates","bag of popcorn","prefer","Casablanca","keyboard"
"Berlin Wall","letter opener","realise","The Thing","High and Low"
"gnu","magnifying glass","crack","Sunrise: A Song of Two Humans","Unforgiven"
"J.K. Rowling","piece of gum","rely","Chinatown","bird"
"Stonehenge","rug","mix","The Shawshank Redemption","John F. Kennedy"
"chameleon","remote","thaw","Werckmeister Harmonies","Pierrot Le Fou"
"Audrey Hepburn","car","flower","Mirror","charge"
"Uluru - Ayers Rock","whistle","name","The Apartment","wobble"
"reptile","milk","cry","Barry Lyndon","Operation Y and Other Shuriks Adventures"
"Steven Spielberg","mp3 player","telephone","North by Northwest","The Graduate"
"Pyramids of Giza","stockings","yawn","Double Indemnity","Frida Kahlo"
"guinea","catalogue","rob","Ordet","The Battle of Algiers"
"George Washington","lighter","land","Paris, Texas","Love Streams"
"The Great Sphinx","tree","whip","Bicycle Thieves","Tale of Tales"
"mink","hanger","hug","Nights of Cabiria","Sitting Bull"
"Winston Churchill","computer","type","Rosemarys Baby","object"
"Tower Bridge","tube of lipstick","branch","Blue Velvet","Scenes From a Marriage"
"llama","coffee mug","plug","The Wages of Fear","visit"
"Madonna","candy bar","tickle","Its Such a Beautiful Day","move"
"The Forbidden City","hand bag","seal","Sherlock, Jr.","play"
"leopard","water bottle","compete","Star Wars","time"
"Augustus","chain","slow","Children of Paradise","knock"
"Mount Everest","orange","attend","Grave of the Fireflies","Seven Samurai"
"canary","flag","employ","Memento","Dersu Uzala"
"Leonardo DiCaprio","television","warn","La Dolce Vita","dam"
"Capitol Hill","shopping bag","peck","The Elephant Man","promise"
"muskrat","rhino","enter","Pink Floyd: Live at Pompeii","like"
"Jane Austen","statuette","pinch","Raging Bull","bell"
"Willis Tower (Sears Tower)","outlet","post","The 400 Blows","Faces"
"jaguar","scotch tape","challenge","Ugetsu","plastic fork"
"Johnny Depp","toilet","colour","The Silence of the Lambs","Adolf Hitler"
"Brooklyn Bridge","clothes","whine","The Human Condition I: No Greater Love","Metropolis"
"skunk","paintbrush","rinse","Lawrence of Arabia","mynah"
"Joseph Stalin","pencil holder","dislike","For a Few Dollars More","The General"
"Burj Al Arab Hotel","canvas","muddle","The Great Dictator","marry"
"mule","lemon","confuse","Touch of Evil","ox"
"Tutankhamen","purse/bag","complete","Late Spring","straw"
"Acropolis","bottle of glue","trip","Oldboy","chalk"
"chimpanzee","beaded bracelet","occur","Terminator 2: Judgment Day","harm"
"Charles Dickens","game CD","trot","Back to the Future","lime"
"St. Marks Basilica and Campanile","trucks","back","Last Year at Marienbad","Rebecca"
"chinchilla","ipod","escape","A Man Escaped","Dolly Parton"
"Plato","spectacles","grip","Naked","The Phantom Carriage"
"Times Square","thermometer","lock","Yojimbo","phone"
"ewe","wooden spoon","buzz","The Act of Killing","Moulin Rouge"
"Elvis Presley","safety pin","chop","Se7en","Heart of a Dog"
"The White House","pocketwatch","nest","The Deer Hunter","class ring"
"sloth","glass","examine","Das Boot","Full Metal Jacket"
"Mark Twain","rolling pin","reply","Pather Panchali","sticker book"
"Louvre Museum","thread","launch","The Man Who Sleeps","table"
"finch","snowglobe","suggest","Il Sorpasso","nail"
"Barack Obama","box of tissues","fancy","Man With a Movie Camera","slap"
"Manneken Pis","container of pudding","dry","Eraserhead","Neuschwanstein Castle"
"rat","shoe lace","measure","The World of Apu","regret"
"Whitney Houston","floor","wonder","Three Colors: Red","lynx"
"Buckingham Palace","multitool","pull","Life of Brian","cup"
"gopher","pinecone","tie","Cries and Whispers","The Lord of the Rings: The Two Towers"
"Tom Hanks","comb","connect","The Gold Rush","A Short Film About Love"
"Versailles","model car","groan","My Neighbor Totoro","The Seventh Seal"
"chipmunk","cars","face","The Dark Knight","box of chalk"
"Ellen Degeneres","pants","announce","Los Olvidados","Alexander the Great"
"Matterhorn","pair of dice","head","Eureka","squeak"
"reindeer","rock","x-ray","Red Beard","chapter book"
"Claude Monet","zipper","advise","A Separation","The Hunt"
"Pompeii","spool of ribbon","cough","Toy Story 3","hammer"
"bison","wine glass","store","Throne of Blood","sin"
"Martin Luther","screw","increase","Sigur Ros: Heima","excuse"
"Florence Cathedral","deodorant","fire","The Last Picture Show","Harakiri"
"sheep","helmet","listen","Trainspotting","recognise"
"Bob Dylan","plush rabbit","blush","The Wild Bunch","Dead Man"
"Edinburgh Castle","hair ribbon","manage","Le Samourai","The Golden Calf"
"crocodile","bottle of lotion","sparkle","Umberto D.","Prince"
"John Travolta","roll of stickers","program","Yi Yi","Notre Dame"
"Machu Picchu","frying pan","watch","American Beauty","correct"
"impala","pocketknife","judge","Investigation of a Citizen Above Suspicion","soothe"
"Marco Polo","blouse","destroy","Fitzcarraldo","dream"
"Christ the Redeemer - Rio De Janerio","washcloth","bomb","Before Sunrise","McCabe &amp;amp; Mrs. Miller"
"polar","hand fan","hand","To Be or Not to Be","water"
"Pocahontas","craft book","remind","Schindlers List","drown"
"CN Tower","pair of socks","want","Paradise Lost: The Child Murders at Robin Hood Hills","rejoice"
"bear","grid paper","vanish","Sans Soleil","Once Upon a Time in the West"
"Tolkien","face wash","carve","All About Eve","open"
"The Grand Canyon","rubber duck","murder","Network","domino set"
"dingo","wedding ring","memorise","The Lord of the Rings: The Fellowship of the Ring","rhinoceros"
"Vlad Dracula","puddle","mend","The Great War","Donald Trump"
"Niagara Falls","ipod charger","include","The Night of the Hunter","The Grapes of Wrath"
"iguana","word search","number","WALL.E","suck"
"Britney Spears","paint brush","ignore","The Treasure of the Sierra Madre","conditioner"
"Burj Khalifa","scarf","question","Dog Day Afternoon","Paul McCartney"
"antelope","perfume","flow","Leclisse","ball of yarn"
"Alfred Nobel","plush dog","smile","The Saragossa Manuscript","Kilimanjaro"
"Tower of London","rubber stamp","pour","La Jetee","Princess Mononoke"
"woodchuck","notebook","imagine","The Exterminating Angel","sun glasses"
"Angelina Jolie","mouse pad","blind","Viridiana","Fidel Castro"
"Madrid Palace","scallop shell","invent","Raiders of the Lost Ark","paperclip"
"mustang","baseball hat","repair","Samurai Rebellion","warm"
"Andy Warhol","bread","educate","The Red Shoes","plush dinosaur"
"Mont St. Michel","cookie jar","drum","Chungking Express","Videodrome"
"lamb","chocolate","stare","The Spirit of the Beehive","Grand Illusion"
"Cristiano Ronaldo","ice cream stick","zoom","The Cabinet of Dr. Caligari","admit"
"Las Vegas","wallet","perform","Underground","arrive"
"mole","steak knife","argue","Tie Xi Qu: West of the Tracks","double"
"Che Guevara","shark","shrug","That Munchhausen","blowdryer"
"Petronas Twin Towers","mirror","heal","Army of Shadows","monkey"
"frog","grocery list","pretend","Hoop Dreams","eye liner"
"Martin Luther King","quartz crystal","undress","La Notte","pair of glasses"
"Sacre Coeur","banana","punish","The Human Condition II: Road to Eternity","attempt"
"alpaca","toy top","irritate","Koyaanisqatsi","house"
"David Beckham","bouquet of flowers","wink","Early Summer","The Maltese Falcon"
"St. PaulS Cathedral","chair","ban","Napoleon","nail filer"
"baboon","book of matches","mate","Shoah","Shakira"
"Vasco Da Gama","hand mirror","trust","Night of the Living Dead","The Celebration"
"Central Park","handful of change","plant","Toy Story","book"
"zebra","CD","list","Witness for the Prosecution","exercise"
"Queen Elizabeth II","can of beans","exist","Edvard Munch","warthog"
"Mount Rushmore","snail shell","heap","Aliens","scratch"
"silver","handbasket","squeeze","Singin in the Rain","Blue Lagoon"
"Walt Disney","toy boat","grease","Lost in Translation","damage"
"Mount Fuji","desk","dust","The Rules of the Game","hippopotamus"
"hedgehog","kitchen knife","float","The Man Who Shot Liberty Valance","As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty"
"Kim Jong Il","broccoli","attack","Paper Moon","Tokyo Twilight"
"Rialto Bridge","box of chocolates","stain","The Life of Oharu","Redwood National Park"
"cheetah","tennis ball","enjoy","Vivre Sa Vie","Trevi Fountain"
"Oprah Winfrey","bottle of perfume","expand","In the Mood for Love","London Eye"
"Arena Di Verona","pair of tongs","gaze","Ed Wood","Heimat: A Chronicle of Germany"
"dog","pair of sunglasses","scare","The Tenant","package of glitter"
"Wolfgang Amadeus Mozart","shirt button","fold","Lost Highway","inform"
"Space Needle","tissue box","rhyme","Akira","haunt"
"giraffe","flashlight","expect","La Strada","Bruce Lee"
"Malcolm X","balloon","shelter","Mary and Max","toothbrush"
"Westminster Abbey","photo album","battle","Rififi","welcome"
"panda","cowboy hat","scorch","Barton Fink","Marilyn Monroe"
"Quentin Tarantino","rusty nail","drop","The Bridge on the River Kwai","The Color of Pomegranates"
"Rock of Gibraltar","lamp","happen","The Discreet Charm of the Bourgeoisie","carrots"
"buffalo","eraser","settle","This Is Spinal Tap","William Shakespeare"
"Lady Gaga","bottle of sunscreen","hover","Stroszek","Inglourious Basterds"
"Alcatraz","pool stick","interrupt","Freaks","tow"
"coyote","drill press","depend","Before Sunset","dove"
"Theodore Roosevelt","bow tie","pass","Winter Light","apple"
"White Cliffs of Dover","credit card","satisfy","The Kid","plush pony"
"camel","notepad","strap","Boogie Nights","We All Loved Each Other So Much"
"Jackie Chan","empty jar","chew","White Heat","Blue Mosque"
"Iguazu National Park","miniature portrait","appreciate","Do the Right Thing","Mariah Carey"
"horse","bottle of soda","hurry","The Ascent","Vladimir Putin"
"Anne Frank","roll of gauze","unfasten","Wings of Desire","Taj Mahal"
"Washington Monument","beef","beg","I Soliti Ignoti","The Third Man"
"tiger","clock","amuse","Diabolique","sword"
"David Bowie","pack of cards","test","Rocco and His Brothers","Benjamin Franklin"
"The Shard","card","consider","Close-Up","disarm"
